test_id,batch_type,population_expected,outcome_expected,grouping_expected,group_expected,year_request_expected,question,notes
topic_adult_001,topic_total_latest,adult,Angina/angina pectoris,Total,Total,last_year_latest_available,What percent of adults had chest pain from angina last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_002,topic_total_latest,adult,Any skin cancer,Total,Total,last_year_latest_available,What percent of adults had skin malignancy last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_003,topic_total_latest,adult,Any type of cancer,Total,Total,last_year_latest_available,What percent of adults had a malignancy last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_004,topic_total_latest,adult,Arthritis diagnosis,Total,Total,last_year_latest_available,What percent of adults had joint disease or arthritis last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_005,topic_total_latest,adult,Asthma episode/attack,Total,Total,last_year_latest_available,What percent of adults had an asthma flare-up last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_006,topic_total_latest,adult,Blood pressure check,Total,Total,last_year_latest_available,What percent of adults had had their blood pressure measured last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_007,topic_total_latest,adult,Breast cancer,Total,Total,last_year_latest_available,What percent of adults had cancer of the breast last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_008,topic_total_latest,adult,"COPD, emphysema, chronic bronchitis",Total,Total,last_year_latest_available,What percent of adults had COPD or chronic lung disease last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_009,topic_total_latest,adult,Cervical cancer,Total,Total,last_year_latest_available,What percent of adults had cancer of the cervix last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_010,topic_total_latest,adult,Coronary heart disease,Total,Total,last_year_latest_available,What percent of adults had heart disease last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_011,topic_total_latest,adult,Counseled by a mental health professional,Total,Total,last_year_latest_available,What percent of adults had therapy or counseling last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_012,topic_total_latest,adult,Current asthma,Total,Total,last_year_latest_available,What percent of adults had asthma now last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_013,topic_total_latest,adult,Current cigarette smoking,Total,Total,last_year_latest_available,What percent of adults had smoked cigarettes now last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_014,topic_total_latest,adult,Current electronic cigarette use,Total,Total,last_year_latest_available,What percent of adults had vaped or used e-cigarettes now last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_015,topic_total_latest,adult,Delayed getting medical care due to cost,Total,Total,last_year_latest_available,What percent of adults had put off medical care because of cost last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_016,topic_total_latest,adult,Dental exam or cleaning,Total,Total,last_year_latest_available,What percent of adults had went to the dentist last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_017,topic_total_latest,adult,Diagnosed diabetes,Total,Total,last_year_latest_available,What percent of adults had diabetes last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_018,topic_total_latest,adult,Diagnosed hypertension,Total,Total,last_year_latest_available,What percent of adults had high blood pressure last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_019,topic_total_latest,adult,Did not get needed medical care due to cost,Total,Total,last_year_latest_available,What percent of adults had skipped needed medical care because of cost last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_020,topic_total_latest,adult,Did not get needed mental health care due to cost,Total,Total,last_year_latest_available,What percent of adults had skipped needed mental health care because of cost last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_021,topic_total_latest,adult,Did not take medication as prescribed to save money,Total,Total,last_year_latest_available,What percent of adults had skipped or changed medicine to save money last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_022,topic_total_latest,adult,Difficulty communicating,Total,Total,last_year_latest_available,What percent of adults had trouble communicating last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_023,topic_total_latest,adult,Difficulty hearing,Total,Total,last_year_latest_available,What percent of adults had trouble hearing last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_024,topic_total_latest,adult,Difficulty remembering or concentrating,Total,Total,last_year_latest_available,What percent of adults had trouble remembering or concentrating last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_025,topic_total_latest,adult,Difficulty seeing,Total,Total,last_year_latest_available,What percent of adults had trouble seeing last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_026,topic_total_latest,adult,Difficulty status (composite),Total,Total,last_year_latest_available,What percent of adults had any functioning limitation last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_027,topic_total_latest,adult,Difficulty walking or climbing steps,Total,Total,last_year_latest_available,What percent of adults had trouble walking or climbing stairs last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_028,topic_total_latest,adult,Difficulty with self care,Total,Total,last_year_latest_available,What percent of adults had trouble with self-care last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_029,topic_total_latest,adult,Disability status (composite),Total,Total,last_year_latest_available,What percent of adults had a disability last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_030,topic_total_latest,adult,Doctor visit,Total,Total,last_year_latest_available,What percent of adults had saw a doctor last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_031,topic_total_latest,adult,Ever received a pneumococcal vaccination,Total,Total,last_year_latest_available,What percent of adults had a pneumonia shot last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_032,topic_total_latest,adult,Exchange-based coverage coverage at time of interview,Total,Total,last_year_latest_available,What percent of adults had marketplace health insurance last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_033,topic_total_latest,adult,Fair or poor health status,Total,Total,last_year_latest_available,What percent of adults had fair or poor health last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_034,topic_total_latest,adult,Has a usual place of care,Total,Total,last_year_latest_available,What percent of adults had a regular place to go for care last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_035,topic_total_latest,adult,Heart attack/myocardial infarction,Total,Total,last_year_latest_available,What percent of adults had a heart attack last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_036,topic_total_latest,adult,High cholesterol,Total,Total,last_year_latest_available,What percent of adults had elevated cholesterol last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_037,topic_total_latest,adult,Hospital emergency department visit,Total,Total,last_year_latest_available,What percent of adults had an ER visit last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_038,topic_total_latest,adult,Obesity,Total,Total,last_year_latest_available,What percent of adults had high BMI or were obese last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_039,topic_total_latest,adult,Prescription medication use,Total,Total,last_year_latest_available,What percent of adults had used prescription medicine last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_040,topic_total_latest,adult,Private health insurance coverage at time of interview,Total,Total,last_year_latest_available,What percent of adults had private health insurance last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_041,topic_total_latest,adult,Prostate cancer,Total,Total,last_year_latest_available,What percent of adults had cancer of the prostate last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_042,topic_total_latest,adult,Public health plan coverage at time of interview,Total,Total,last_year_latest_available,What percent of adults had public health insurance last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_043,topic_total_latest,adult,Receipt of influenza vaccination,Total,Total,last_year_latest_available,What percent of adults had a flu shot last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_044,topic_total_latest,adult,Regularly experienced chronic pain,Total,Total,last_year_latest_available,What percent of adults had chronic pain last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_045,topic_total_latest,adult,Regularly had feelings of depression,Total,Total,last_year_latest_available,What percent of adults had felt depressed regularly last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_046,topic_total_latest,adult,"Regularly had feelings of worry, nervousness, or anxiety",Total,Total,last_year_latest_available,What percent of adults had felt anxious or worried regularly last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_047,topic_total_latest,adult,Retail health clinic visit,Total,Total,last_year_latest_available,What percent of adults had a pharmacy or retail clinic visit last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_048,topic_total_latest,adult,"Six or more workdays missed due to illness, injury, or disability",Total,Total,last_year_latest_available,What percent of adults had missed a week or more of work due to illness or disability last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_049,topic_total_latest,adult,Taking prescription medication for feelings of depression,Total,Total,last_year_latest_available,What percent of adults had took medicine for depression last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_050,topic_total_latest,adult,"Taking prescription medication for feelings of worry, nervousness, or anxiety",Total,Total,last_year_latest_available,What percent of adults had took medicine for anxiety or worry last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_051,topic_total_latest,adult,Uninsured at time of interview,Total,Total,last_year_latest_available,What percent of adults had did not have health insurance last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_052,topic_total_latest,adult,Uninsured for at least part of the past year,Total,Total,last_year_latest_available,What percent of adults had went without insurance at some point in the past year last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_053,topic_total_latest,adult,Uninsured for more than one year,Total,Total,last_year_latest_available,What percent of adults had went without insurance for more than a year last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_054,topic_total_latest,adult,Urgent care center or retail health clinic visit,Total,Total,last_year_latest_available,What percent of adults had an urgent care or pharmacy clinic visit last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_055,topic_total_latest,adult,Urgent care center visit,Total,Total,last_year_latest_available,What percent of adults had an urgent care visit last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_adult_056,topic_total_latest,adult,Wellness visit,Total,Total,last_year_latest_available,What percent of adults had an annual preventive checkup last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_001,topic_total_latest,child,Current asthma,Total,Total,last_year_latest_available,What percent of kids had asthma now last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_002,topic_total_latest,child,"Daily feelings of worry, nervousness, or anxiety",Total,Total,last_year_latest_available,What percent of kids had daily anxiety or worry last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_003,topic_total_latest,child,Delayed getting medical care due to cost,Total,Total,last_year_latest_available,What percent of kids had put off medical care because of cost last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_004,topic_total_latest,child,Difficulty status (composite),Total,Total,last_year_latest_available,What percent of kids had any functioning limitation last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_005,topic_total_latest,child,Disability status (composite),Total,Total,last_year_latest_available,What percent of kids had a disability last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_006,topic_total_latest,child,Doctor visit,Total,Total,last_year_latest_available,What percent of kids had saw a doctor last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_007,topic_total_latest,child,Ever having a learning disability,Total,Total,last_year_latest_available,What percent of kids had a learning disability last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_008,topic_total_latest,child,Ever having asthma,Total,Total,last_year_latest_available,What percent of kids had ever had asthma last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_009,topic_total_latest,child,Ever having attention-deficit/hyperactivity disorder,Total,Total,last_year_latest_available,What percent of kids had ADHD last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_010,topic_total_latest,child,Fair or poor health status,Total,Total,last_year_latest_available,What percent of kids had fair or poor health last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_011,topic_total_latest,child,Has a usual place of care,Total,Total,last_year_latest_available,What percent of kids had a regular place to go for care last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_012,topic_total_latest,child,Missing 11 or more school days due to illness or injury,Total,Total,last_year_latest_available,What percent of kids had missed a lot of school because of illness or injury last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_013,topic_total_latest,child,Prescription medication use,Total,Total,last_year_latest_available,What percent of kids had used prescription medicine last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_014,topic_total_latest,child,Receipt of influenza vaccination,Total,Total,last_year_latest_available,What percent of kids had a flu shot last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_015,topic_total_latest,child,Receive services for mental health problems,Total,Total,last_year_latest_available,What percent of kids had got mental health services last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_016,topic_total_latest,child,Receiving special education or early intervention services,Total,Total,last_year_latest_available,What percent of kids had got special education or early intervention services last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_017,topic_total_latest,child,Two or more hospital emergency department visits,Total,Total,last_year_latest_available,What percent of kids had two or more ER visits last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_018,topic_total_latest,child,Two or more retail health clinic visits,Total,Total,last_year_latest_available,What percent of kids had two or more pharmacy or retail clinic visits last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_019,topic_total_latest,child,Two or more urgent care center or retail health clinic visits,Total,Total,last_year_latest_available,What percent of kids had two or more urgent care or pharmacy clinic visits last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_020,topic_total_latest,child,Two or more urgent care center visits,Total,Total,last_year_latest_available,What percent of kids had two or more urgent care visits last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_021,topic_total_latest,child,Uninsured at time of interview,Total,Total,last_year_latest_available,What percent of kids had did not have health insurance last year?,One total-population/latest-year query per adult/child topic using common wording.
topic_child_022,topic_total_latest,child,Well child check-up,Total,Total,last_year_latest_available,What percent of kids had a routine child checkup last year?,One total-population/latest-year query per adult/child topic using common wording.
