test_id,batch_type,population_expected,outcome_expected,grouping_expected,group_expected,year_request_expected,question,notes
flu_adult_001,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 65+,18-34 years,last_year_latest_available,What percent of adults ages 18-34 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_002,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 65+,35-49 years,last_year_latest_available,What percent of adults ages 35-49 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_003,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 65+,50-64 years,last_year_latest_available,What percent of adults ages 50-64 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_004,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 65+,65 years and over,last_year_latest_available,What percent of adults ages 65 and older got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_005,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 75+,18-44 years,last_year_latest_available,What percent of adults ages 18-44 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_006,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 75+,45-64 years,last_year_latest_available,What percent of adults ages 45-64 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_007,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 75+,65-74 years,last_year_latest_available,What percent of adults ages 65-74 got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_008,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Age groups with 75+,75 years and over,last_year_latest_available,What percent of adults ages 75 and older got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_009,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Difficulty status,With functioning difficulty,last_year_latest_available,What percent of adults with functioning difficulties got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
flu_adult_010,flu_all_demographic_subgroups_latest,adult,Receipt of influenza vaccination,Difficulty status,Without functioning difficulty,last_year_latest_available,What percent of adults without functioning difficulties got a flu shot last year?,One flu-shot/latest-year query per available demographic subgroup using common wording.
